feature,importance,Label,,
collev___3,0.026707825,,,
concusstotaln,0.015658851,,,
concussfreqn,0.015639286,,,
TES_substan_RHI,0.012208462,,,
tes_subtype,0.012199484,,,
ccisptot,0.007896039,,,
SP_MC_CCI_OthersThink,0.00685072,,,
partsport,0.006825113,,,
RD_FX,0.006612887,,,
tes_cogimp_dement_grp,0.006526105,,,
TES_not_accounted_for,0.005950607,,,
MC_CCI_RemWhatIntend,0.005677132,,,
ad8sptot,0.005552362,,,
orthosurg,0.005428403,,,
BGLHA_Adolescence_Total,0.005362017,,,
BGLHA_Adulthood_Total,0.005148999,,,
painarea___2,0.00472472,,,
TBIsev,0.004634145,,,
TES_progressive,0.004408828,,,
ccitot,0.004384566,,,
MD_FX,0.004253701,,,
eqstate,0.004166003,,,
tmi,0.004128311,,,
SP_MC_CCI_RemInfoTold,0.00403332,,,
AD_FX,0.003995047,,,
emotcont,0.003880742,,,
TBI,0.003784582,,,
memrec,0.003727111,,,
SP_MC_CCI_RemWithoutNotes,0.00356232,,,
weight,0.003271786,,,
SP_DEM_AD8_ThinkMem,0.003226648,,,
MC_CCI_RecallInfo,0.00315028,,,
frontalsuvr,0.003116552,,,
SP_MC_CCI_RecallConversations,0.00305824,,,
MMB_Anxious,0.003026352,,,
minttot,0.002992531,,,
gec,0.002930157,,,
age,0.002907556,,,
fierytemp,0.002899541,,,
paindis,0.002893955,,,
MC_CCI_RecallConversations,0.002884124,,,
MC_CCI_RemWithoutNotes,0.002868722,,,
weightpast1,0.002695852,,,
SP_MC_CCI_CmpAgeGroup,0.002687658,,,
att2nd,0.002629303,,,
heightage25,0.002528094,,,
weightmaxage,0.002516526,,,
selfmon,0.002511648,,,
mi,0.002501185,,,
craftpdelz,0.002483042,,,
weightnow,0.002462347,,,
rh_pericalcarine_meancurv,0.00245227,,,
MC_CCI_RemPlaceObj,0.00244879,,,
lh_postcentral_area,0.002441447,,,
MC_CCI_RemNewPeople,0.002352411,,,
nldiraw,0.002343262,,,
p_GM_CSF,0.002332288,,,
rh_superiorparietal_area,0.002312804,,,
pclcluse,0.002287866,,,
nbd_tot,0.002285884,,,
CC_Mid_Posterior,0.00228136,,,
pcltot,0.00228015,,,
s_footballrel,0.002278016,,,
RD_ML_L,0.002268914,,,
Left_Hippocampus,0.00225233,,,
nlairt,0.002218662,,,
RD_ML_R,0.002208272,,,
minttotz,0.00214445,,,
bditot,0.002112253,,,
rh_insula_volume,0.00209701,,,
height_bmi,0.002094463,,,
snototal,0.002059896,,,
